,user_a,user_b
3508,Có hút thuốc ko ?,không
3509,Có hay nhậu không ?,không
3510,Đô nhiêu lon ?,không biết uống
3511,Mày chơi với tao bao lâu rồi ?,năm nhất tới giờ
3512,Mày rớt bao nhiêu môn rồi ?,hỏi quài mày
3513,Có người yêu chưa ?,rồi
3514,Nghĩ gì về tao ?,bình thường
3515,Có hút thuốc ko ?,không
3516,Có hay nhậu không ?,không
3517,Đô nhiêu lon ?,không biết uống
3518,Nhiều bạn không ?,Ít
3519,Bạn mày ở đâu?,Nhà nó
3520,Bạn lâu nhất nhiêu năm?,lúc lọt lòng
3521,Bạn mày học đâu?,Ở trường nó học
3522,Thích gì?,ai thích gì ?
3523,Bạn có bạn không?,nhiều
3524,Bạn bè của bạn có chơi dơ không?,không
3525,Bạn có hay đi nhậu với bạn bè không?,có
3526,Bạn bè của bạn có hay chơi đồ không?,chơi
3527,bạn có bạn thân không?,có
3528,Bạn của bạn có hay mượn tiền bạn không?,có
3529,bạn của bạn có rủ bạn đi cúp học không?,có
3530,Bạn muốn bạn của mình như thế nào?,khùng
3531,Mày có xem tao là bạn?,bét fen.
3532,Mày thích gì ở bạn mày?,rảnh không có j làm cho tiền tớ sài.
3533,Mày cảm thấy thế nào khi ở gần bạn bè?,Cảm thấy zui.
3534,Bạn bè mày có tốt không?,Tốt như cậu đó.
3535,Bạn thân mày tên gì?,Tên j kệ bạn t
3536,bạn thân là thằng nào?,hông nói
3537,nghĩ sao về một người bạn tốt?,đẹp
3538,có quen ai lâu dài?,hông
3539,tình bạn nó ra sao rồi?,tuyêtk
3540,thường làm gì với bạn thân?,chơi game
3541,làm gì để giữ mối quan hệ?,nói chuyện
3542,Có nhiều bạn không?,nhiều
3543,Tính cách như nào?,khá cá tính
3544,Có tâm sự với mọi người không?,ko
3545,Bạn bè hòa đồng không?,Cũng bình thường
3546,Có hay giúp đỡ bạn không?,Thường xuyên
3547,Bạn bè của bạn có hay giúp đỡ nhau không?,Cũng có
3548,Mày có bao nhiêu bạn?,nhiều
3549,Bạn mày học trường nào?,đoán xem
3550,Làm bạn được bao lâu rồi?,gần 30 năm
3551,Bạn mày học đâu?,Ở trường
3552,Sở thích của bạn mày là gì?,hỏi nó đó
3553,trường có ký túc xá không ?,có
3554,1 chỉ bao nhiêu tiền ?,khoảng 600 nghìn đồng
3555,1 môn bao nhiêu chỉ ?,3 chỉ
3556,trường có câu lạc bộ không ?,có
3557,bao nhiêu điểm thì rớt môn ?,dưới 5
3558,học phí có đắt không?,dao động từ 10 triệu tới 20 triệu
3559,TDTU có mấy cơ sở?,TDTU có 5 cơ sở
3560,TDTU có dạy CNTT không?,có
3561,có giảng viên nước ngoài trong trường không?,có
3562,TDTU có hoạt động gì vui?,đi học quân sự ở Bảo Lộc
3563,Trường rộng không?,Rộng
3564,Có căntin không?,Có
3565,Cơ sở vật chất tốt không?,Tốt
3566,Có kí túc xá không?,Có
3567,TRường TĐT mặc đông phục nào,"Nữ mặc áo dài, nam mặc sơ mi quần tây"
3568,Ở trường TĐT mặc đồng phục vào thứ mấy?,Thứ 2 và thứ 5
3569,Cơ sở vật chất của trường như thế nào?,Đạt chuẩn 5/5 sao ( theo QS Star Anh Quốc) đảm bảo cho sự phát triển toàn diện của sinh viên
3570,Sinh viên đại học TĐT có lễ phép không,Có
3571,học phí,650000 đồng một tín chỉ
3572,phòng tư vấn,phòng E001
3573,giờ học,6 giờ 50 phút
3574,ký túc xá ở đâu?,khu H
3575,có bao nhiêu khoa,16 khoa
3576,điểm đầu vào như nào?,khá cao
3577,chuyển ngành được không?,"được, nếu đơn được duyệt"
3578,địa chỉ là gì,19 Nguyễn Hữu Thọ quận 7
3579,thang máy có đông không?,thang máy không đông lắm
3580,Học phí của trường bao nhiêu?,20 triệu một năm.
3581,Bao nhiêu một tín ?,700 nghìn
3582,Cơ sở vật chất như nào ?,Đầy đủ tiện nghi
3583,Ký túc xá ra sao?,Hỗ trợ cho sinh viên trong 2 năm đầu
3584,Có câu lạc bộ bóng đá không?,Có nha
3585,Trường mở cửa lúc nào?,Giờ hành chính từ 6 giờ đến 22 giờ
3586,phí học như thế nào á ?,tùy ngành nữa
3587,trường mình đa ngành hả ?,ừ
3588,trường rộng không ?,cũng rộng
3589,trường có kí túc xá không?,có nha
3590,trường học vui không ?,cũng vui
3591,trường mày học dễ rớt môn không ?,không
3592,học trong trường dễ có người không thế ?,tùy mày như thế nào
3593,học quân sự ở đâu?,tại trường
3594,khoa công nghệ thông tin có mấy chuyên ngành?,3 chuyên ngành chính
3595,thầy cô trong trường thế nào?,"nhiệt tình, tận tâm"
3596,có tổ chức các hoạt động cho sinh viên không?,có nhiều từ các khoa
3597,kí túc xá thế nào?,khá ok
3598,học vui không?,vui
3599,trường dạy nhiêu ngành?,39
3600,thầy cô trong trường sao?,nhiệt tình
3601,ra trường có việc làm không?,99 phần trăm có việc làm
3602,cơ sở vật chất có ổn không?,5 sao chuẩn quốc tế
3603,thư viện xịn không?,trong top đông nam á
3604,sinh viên có thân thiện không?,có
3605,người ngoài vào trường được không?,có nhưng bảo vệ phải cho phép
3606,có bao nhiêu hồ bơi?,2
3607,trường có nhiều câu lạc bộ không?,nhiều
3608,học phí của trường có mắc không?,nó ở mức trung bình không quá mắc
3609,thầy cô của trường như thế nào?,thầy cô rất tâm huyết với sinh viên
3610,trường mình có gì đặc biệt hơn trường khác?,trường mình có thư viện tốt nhất nước
3611,trường mình có kí túc xá riêng không?,trường có 3 kí túc xá riêng
3612,chất lượng phòng học có tốt không?,"phòng học đầy đủ tiện nghi, ánh sáng, tới máy lạnh không thiếu gì cả"
3613,có bao nhiêu chương trình dạy học ở TDTU?,có 3 hệ chương trình ở TDTU
3614,trường có wifi không ?,có
3615,nhà xe có kẹt không ?,không
3616,học phí cao không ?,bình thường
3617,thầy cô thế nào ?,"giỏi, yêu sinh viên"
3618,cơ sở vật chất tốt không ?,tốt
3619,phòng thực hành ngon không ?,tùy phòng
3620,học phí?,50 triệu
3621,tiện ích trong trường?,thư viện
3622,ở xa không?,gần thành phố
3623,có tốt không?,rất tốt
3624,Trường có tổng cộng bao nhiêu các ngành ?,Hiện tại gồm 39 ngành theo chất lượng tiêu chuẩn
3625,Số lượng giảng viên là bao nhiêu ?,Gồm 1320 giảng viên
3626,Trường có thư viện không ?,Thư viện của trường tự hào là một trong những thư viện hiện đại và đầy đủ tài liệu nhất của TP Hồ Chí Minh
3627,Học phí mỗi năm cần phải đóng cho trương trình đại trà ?,"Mỗi năm dao động từ 40-50 triệu, và có nhiều chính sách học bổng."
3628,Thư viện đâu anh?,Bên trái nhà C
3629,Học phí sao chị?,Tầm trung nha em
3630,Bao ngành thế chị?,Nhiều ngành lắm em
3631,Tập thể dục đâu chị?,Mọi nơi em
3632,Khoa Công nghệ thông tin có mấy ngành?,3
3633,Trường Tôn Đức Thắng có gì khác biệt?,mặc đồng phục thứ 2 và thứ 5 hằng tuần.
3634,Cần bằng tiếng Anh để ra trường?,Cần
3635,có xét học bạ không?,Có
3636,có mấy căn tin ?,4
3637,bao nhiêu tiền 1 tín chỉ ?,1000000 vnd
3638,bao nhiêu tín chỉ ra trường?,142
3639,có thư viện không?,có
3640,học phí?,trung bình 20 triệu.
3641,mấy năm ra trường?,trung bình 4 năm.
3642,nghĩ sao về thư viện trường?,cũng được
3643,học ai?,giáo viên công nghệ thông tin.
3644,học phí của trường mình thế nào ?,giao động từ 20 -24 triệu mỗi năm
3645,cơ sở vật chất thì như thế nào  ?,có có thư viện xin nhất trong các trường đại học
3646,ngành nào đang hot nhất hiện nay?,"IT, điện điện tử, marketing,..."
3647,thây cô thì thế nào ?,"đều có kiến thức chuyên môn cao, tận tình"
3648,trường có hỗ trợ học bổng gì không ?,học lực từ 8.0 trở lên và điểm hoạt động trên 80 thì có thể nhận được
3649,khi nào trường mới có mở đợt xuyêt duyệt học bạ ?,cái này thì lên trang chủ của trường học
3650,Trường mình có ký túc xá không?,Có
3651,Trường mình xét tuyển vào với mấy hình thức?,Học bạ và điểm thi tốt nghiệp
3652,Trường mình có môn bơi không?,Có
3653,Trường mình có nhiều phong trào thiện nguyện không?,Có
3654,Học phí ở trường có đắt không?,Tùy
3655,trường có gì hot,thư viện 129 tỷ
3656,sinh viên sao,"kỉ luật, lễ phép, chuyên nghiệp, sáng tạo, phụng sự"
3657,sao người ta nói trường mình như Đà Lạt,tại máy lạnh nhiều mà còn bật suốt
3658,nhiêu tín chỉ ra trường,tùy
3659,có trang phục truyền thống không,"có, thứ 2 thứ 5 nam sơ mi nữ áo dài"
3660,bao nhiêu khoa?,16 khoa.
3661,bao nhiêu ngành?,hơn 44 ngành.
3662,thầy cô thì sao?,thân thiện.
3663,sao nữa?,luôn hỗ trợ.
3664,học phí?,đắt.
3665,còn tiện ích?,đầy đủ.
3666,mày học gì?,CNTT.
3667,Nào ra trường?,chưa biết.
3668,có người yêu chưa?,chưa.
3669,học giỏi không?,bình thường.
3670,có thể cho em biết là trường mình có dạy Công Nghệ Thông Tin không ạ?,Có
3671,Các thầy cô trông trường như thế nào ạ?,"thân thiện, nhiệt tình ."
3672,Trường có các tiện ích gì vậy ạ?,"căn tin, ký túc xá và còn nhiều thứ khác nữa."
3673,Học phí trong trường có đắt không ạ?,đắt.
3674,Nếu em theo học ngành CNTT ở trường thì cần bao lâu để tốt nghiệp?,4 năm và 138 tín chỉ
3675,trường đào tạo bao nhiêu ngành?,17
3676,liệt kê?,"công nghệ thông tin, mỹ thuật công nghiệp, kỹ thuật công trình, điện - điện tử, tài chính ngân hàng, toán - thống kê, quản trị kinh doanh, kế toán, giáo dục quốc tế, khoa học ứng dụng, luật, khoa học thể thao, dược, khoa học xã hội & nhân văn, ngoại ngữ, môi trường & bảo hộ lao động, lao động công đoàn"
3677,học phí?,"tiêu chuẩn: từ 8 triệu một học kì, chất lượng cao: từ 20 triệu một học kì"
3678,chương trình đào tạo?,giáo trình từ các trường nước ngoài
3679,giáo viên?,"chuyên môn cao, nhiệt tình, dễ thương"
3680,tiện ích trong trường?,"thư viện to, trường rộng, nhiều cây xanh, sạch sẽ, phòng học rộng có máy lạnh, canteen to đồ ăn ngon..."
3681,sinh viên?,"thân thiện, tự giác, đẹp trai, xinh gái,....."
3682,công nhân viên?,"thân thiện, vui vẻ, trách nhiệm,...."
3683,cơ sở vật chất?,"khang trang, hiện đại, sạch đẹp,...."
3684,mua quần áo ở đâu?,"Yame, Uniqlo, Adidas, chợ đồ si, trước mặt Lotte quận 7"
3685,mua giày dép?,"Yame, Uniqlo, Nike, chợ Tân Mỹ,..."
3686,mua máy tính?,"Phong Vũ, GEARVN, Thế giới di động, FPT shop"
3687,mua sách?,"nhà sách Nguyễn Văn Cừ, nhà sách trong Lotte quận 7..."
3688,nơi làm thêm?,"seven-eleven, circle K, family mark, The Coffee House,..."
3689,trường có nhiêu ngành?,40 ngành
3690,thư viện xây bao nhiêu?,129 tỷ
3691,thư viện trường mình là do mấy anh chị khoa mỹ thuật công nghiệp khóa trước xây à?,dạ
3692,trường mình là trường tư hay gì?,là trường công lập
3693,địa chỉ?,19 Nguyễn Hữu Thọ phường Tân Phong quận 7
3694,Trường đẹp không?,Đẹp lắm.
3695,Người lạ vào trường được không?,"Không nha, phải ra chỗ bác bảo vệ xin cái gì đó mới vào được."
3696,Đồng phục trường đẹp không?,Thứ 2 hoặc thứ 5 tới thấy rồi tự nhận xét.
3697,Phí ở ký túc xá đắt không?,Rẻ lắm.
3698,Trường có chỗ nào sống ảo không?,Chỗ nào cũng sống ảo được hết.
3699,Trường có đào tạo tiếng anh không?,Có thi đầu vào và chia lớp học tiếng anh nè.
3700,ngành nào,"khoa học máy tính, mạng và truyền thông"
3701,chuẩn đầu ra tiếng anh,toeic 550
3702,thầy cô nước ngoài dạy,có
3703,giảng viên trường,thỉnh giảng và giáo viên cơ hữu
3704,thư viện,phục vụ hàng nghìn sinh viên và tài liệu
3705,trình độ đào tạo,đại trà và chất lượng cao
3706,học phí chất lượng cao,cao và chất lượng
3707,đăng ký ktx,tìm hiểu form trên page
3708,đóng học phí,hướng dẫn trên hệ thống thông tin sinh viên
3709,Em muốn dẫn bạn khác vào trường thì làm sao,Xin thẻ khách nha em
3710,Xin như thế nào,Gặp bảo vệ
3711,Giữ xe ở đâu chị,Tòa G nha em
3712,"Ok, cảm ơn chị",Không có gì
3713,Mạng máy tính?,"network, packet tracer, AI,..."
3714,học phí?,10-15 triệu / học kì
3715,tiện ích?,"cơ sở vật chất cao cấp, lớp học đầy đủ tiện nghi,"
3716,cơ sở của trường?,"Nha Trang, Hồ Chí Minh,..."
3717,thầy cô?,"thầy cô nhiệt tình, thân thiện"
3718,học bao nhiêu năm?,tối đa 7 năm
3719,có những ngành gì?,"Mạng máy tình và truyền thông dữ liệu, công nghệ phần mềm, khoa học máy tính,...."
3720,trường có bắt bỏ ảo vào quần không thầy?,khuyến khích thôi em
3721,trường có học bổng không cô?,có em
3722,học quân sự ở đâu vậy cô?,trong trường
3723,có bao nhiêu tuyến xe buýt qua trường vậy cô?,4 tuyến
3724,Ai dạy?,thầy Trí
3725,Trường có sân banh không?,Có
3726,Trường có thư viện không?,Có
3727,Học phí như thế nào?,Tạm ổn
3728,Thư viện ở đâu?,"Đi thẳng, tòa nhà màu cam"
3729,Trường có tòa KTX,4 tòa
3730,học phí nhiêu?,20 triệu 1 kỳ
3731,có hồ bơi không?,có
3732,trang thiết bị sao?,ổn
3733,khuôn viên sao?,rộng rãi
3734,có chỗ gửi xe không?,có
3735,thầy cô sao?,"tâm huyết, tận tình"
3736,Ấn tượng về các thầy cô?,Rất nhiệt tình và tận tụy
3737,Có hồ bơi không?,Có
3738,Ở đây có gì nổi bật?,Thư viện được trang bị hiện đại
3739,Ở đây có ký túc xá không?,Có
3740,giáo viên có khó không?,không
3741,trường rộng không?,bao rộng
3742,học phí 1 học kì bao nhiêu?,hơn 10 triệu gì đó
3743,Ai dạy môn này?,thầy Cường
3744,thư viện rộng lắm hả?,ừa
3745,đi thang máy nhanh không?,chờ thang máy còn lâu hơn thang bộ
3746,anh/chị học ngành gì vậy ?,Công nghệ thông tin
3747,Học phí mỗi năm ngành anh/chị bao nhiêu vậy ?,khoảng 20 triệu
3748,thiết bị vật tư ở trường như thế nào ?,tốt
3749,Trường có thư viện không ?,có
3750,Có nơi nào để giải đáp thắc mắc của sinh viên không ?,E001 hoặc A003
3751,trong trường có quy định gì không ?,có và được ghi rõ trong mục quy định trường.
3752,học phí ra sao?,tầm trung
3753,có bao nhiêu tòa nhà?,gần 20
3754,trường đẹp không?,bao đẹp
3755,bao nhiêu cổng lận?,bảy
3756,có view sống ảo không?,đầy
3757,có người yêu chưa ?,chưa
3758,có crush chưa ?,rồi
3759,ai thế ?,không nói
3760,xinh không ?,dễ thương
3761,nhà nó ở đâu ?,không biết
3762,số điện thoại thì sao ?,không biết luôn
3763,Lần cuối bạn có người yêu là khi nào?,Đầu năm 2020
3764,Bạn có crush không?,Crush của mình nhiều lắm.
3765,Bạn có muốn đi đâu chơi với người yêu không?,Nếu có thì mình sẽ chọn Đà Lạt
3766,có người yêu chưa?,chưa
3767,có crush với ai chưa,chưa
3768,Có bồ chưa?,Chưa.
3769,Quen nhau nhé?,OK.
3770,Bạn thích ai?,Mình thích bạn Duy.
3771,Mẫu người lý tưởng của bạn là ai?,Cao Trần Tuấn Duy.
3772,Cậu khỏe chứ?,Khỏe.
3773,Sống tốt chứ?,Tốt.
3774,Có vui không?,Vui.
3775,Có bồ chưa?,Chưa.
